WKT_GEOM;ID_A_PEDO;DENOMINAZI;CIRCOSCRIZ;ORD_IST;SUPERFICIE;COORD_X;COORD_Y
POLYGON ((1395273.622 4991062.52,1395319.246 4991038.668,1395322.217 4991029.38,1395324.781 4991029.567,1395335.583 4991050.81,1395334.217 4991052.978,1395324.47 4991049.533,1395274.104 4991075.964,1395273.258 4991073.913,1395277.331 4991069.185,1395273.622 4991062.52));31;magenta;1;;828;1395305,5;4991052,5
POLYGON ((1397140.404 4991510.212,1397139.33 4991508.21,1397083.55429044 4991405.11077215,1397090.466 4991401.207,1397085.69925117 4991392.30715891,1397089.37 4991390.97,1397190.62 4991333.5,1397192.005 4991328.136,1397168.457 4991286.288,1397170.685 4991284.943,1397171.426 4991286.243,1397182.82683335 4991279.75843257,1397207.65 4991323.5,1397210.434 4991326.737,1397232.665 4991314.103,1397244.827 4991307.084,1397270.741 4991292.78,1397278.20157276 4991306.04997308,1397270.766 4991310.231,1397268.368 4991311.579,1397268.062 4991311.257,1397267.36 4991311.241,1397257.583 4991316.86,1397253.32113301 4991319.31196933,1397253.847 4991320.226,1397220.215 4991339.449,1397262.02011053 4991413.0823168,1397260.385 4991414.007,1397247.217 4991421.582,1397246.26021599 4991422.11684575,1397228.053 4991389.772,1397197.229 4991406.667,1397196.928 4991396.671,1397194.405 4991394.892,1397210.55 4991386.159,1397209.02 4991383.472,1397220.646 4991376.788,1397201.48 4991342.94,1397142.239 4991376.708,1397196.844 4991477.76,1397188.376 4991482.368,1397133.343 4991382.318,1397096.08 4991403.03,1397149.701 4991502.636,1397150.859 4991504.695,1397140.404 4991510.212));32;universita;1;;8429;1397180,875;4991294,75
POLYGON ((1398787.93894424 4993869.33986065,1398785.67994424 4993832.90286065,1398759.26494424 4993834.87386065,1398753.27994402 4993835.28444598,1398752.72994424 4993827.26586065,1398784.98394424 4993824.98986065,1398781.25094424 4993766.05386065,1398781.01794424 4993763.06486065,1398778.52596437 4993763.25911878,1398777.78094424 4993753.70186065,1398777.63962522 4993751.70779852,1398801.18794424 4993749.83586065,1398801.11435476 4993748.86529877,1398836.78594424 4993746.15986065,1398837.16427053 4993752.13009345,1398839.61394424 4993751.97486065,1398839.57194424 4993752.79986065,1398844.99794424 4993752.43886065,1398844.866 4993750.598,1398850.94718174 4993750.12625004,1398853.42494424 4993782.11286065,1398788.51542617 4993785.82728227,1398791.15594424 4993824.29686065,1398888.04894424 4993816.99586065,1398887.92194424 4993815.82186065,1398900.48194424 4993814.94986065,1398901.92794424 4993814.83686065,1398902.15694424 4993823.94286065,1398791.65294424 4993832.00186065,1398793.64594424 4993863.32886065,1398793.12594424 4993868.97886065,1398787.93894424 4993869.33986065));33;abba;6;1584;4157;1398827,5;4993765,25
POLYGON ((1397601.932 4993120.229,1397525.173 4993072.928,1397527.321 4993069.297,1397553.613 4993085.484,1397555.25 4993082.809,1397605.667 4993113.856,1397601.932 4993120.229));34;bologna;6;;568;1397567,625;4993095
POLYGON ((1396085.605 4991047.263,1396099.359 4991040.369,1396126.553 4991092.019,1396165.656 4991071.09,1396172.831 4991084.436,1396133.767 4991105.366,1396160.663 4991156.463,1396147.289 4991163.582,1396120.35703707 4991112.27773614,1396087.173 4991129.944,1396080.123 4991116.62,1396113.38297782 4991099.40213491,1396085.605 4991047.263));35;amendola;1;905;3224;1396126,5;4991108
POLYGON ((1396532.745 4991052.518,1396609.839 4991011.629,1396615.81 4991023.954,1396537.762 4991063.323,1396532.745 4991052.518));36;costa;1;333;1118;1396575,0625;4991037,5
POLYGON ((1396071.191 4992300.941,1396063.745 4992304.654,1396066.484 4992309.555,1396061.377 4992311.916,1396060.077 4992311.737,1396035.006 4992323.16,1396033.971 4992323.867,1396033.333 4992324.596,1396032.592 4992325.883,1396032.102 4992327.252,1396031.894 4992328.441,1396031.974 4992330.286,1396032.543 4992332.013,1396039.524 4992345.452,1396039.586 4992346.133,1396039.344 4992346.825,1396037.971 4992348.256,1396038.242 4992348.954,1396038.903 4992349.363,1396039.581 4992349.325,1396042.698 4992354.318,1396042.979 4992356.581,1396043.99 4992364.276,1396043.217 4992365.991,1396046.421 4992373.55,1396047.50264787 4992376.10186525,1396044.67 4992377.586,1396042.993 4992377.894,1396041.883 4992377.843,1396040.799 4992377.594,1396039.777 4992377.155,1396038.851 4992376.541,1396037.397 4992374.87,1396017.145 4992335.147,1396012.312 4992325.491,1396030.28 4992316.561,1396023.651 4992302.429,1396064.166 4992283.219,1396071.191 4992300.941));37;consolata;1;584;1869;1396041,75;4992307
POLYGON ((1396015.881 4992103.314,1396022.958 4992100.215,1396022.735 4992101.709,1396030.587 4992117.364,1396031.188 4992117.151,1396045.271 4992145.212,1396044.755 4992145.614,1396051.89 4992159.84,1396046.14959114 4992163.23635425,1396043.966 4992158.314,1396015.881 4992103.314));38;orfane;1;1086;462;1396033,875;4992130,5
POLYGON ((1396326.10663711 4991148.62358446,1396333.27900005 4991162.1900001,1396298.42977021 4991180.94367096,1396292.16068542 4991169.10600052,1396294.02 4991165.847,1396326.10663711 4991148.62358446));39;lagrange;1;5096;605;1396312,25;4991165
POLYGON ((1396379.028 4990880.012,1396357.383 4990837.09,1396445.71148074 4990790.88235671,1396467.54141062 4990833.13829968,1396379.028 4990880.012));40;bodoni;1;1904;4777;1396411,8125;4990835,5
