WKT_GEOM;ID_R_IMP_T;COMPETENZA;DENOMINAZI;POLIVALENT;SOCIETA_SP;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;URL;DISCIPLINA;COORD_X;COORD_Y
POINT (1392695.172 4995154.795);465;competenza della Circoscrizione;Bocciofila Gladioli;NO;;VIA DEI GLADIOLI 11;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=304;EDIFICI DI PERTINENZA;1392695,172;4995154,795
POINT (1394424.982 4996898.745);100;competenza della Circoscrizione;Bocciodromo Lanzo;NO;;STRADA LANZO 144;TORINO;10148;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=104;BOCCIODROMO;1394424,982;4996898,745
POINT (1394424.982 4996898.745);332;competenza della Circoscrizione;Bocciodromo Lanzo;NO;;STRADA LANZO 144;TORINO;10148;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=104;PALESTRA;1394424,982;4996898,745
POINT (1394424.982 4996898.745);333;competenza della Circoscrizione;Bocciodromo Lanzo;NO;;STRADA LANZO 144;TORINO;10148;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=104;CALCETTO;1394424,982;4996898,745
POINT (1394424.982 4996898.745);466;competenza della Circoscrizione;Bocciodromo Lanzo;NO;;STRADA LANZO 144;TORINO;10148;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=104;EDIFICI DI PERTINENZA;1394424,982;4996898,745
POINT (1393592.755 4994607.984);21;competenza della Circoscrizione;Lucento Calcio;NO;;CORSO LOMBARDIA 107;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=139;CALCIO;1393592,755;4994607,984
POINT (1393592.755 4994607.984);467;competenza della Circoscrizione;Lucento Calcio;NO;;CORSO LOMBARDIA 107;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=139;EDIFICI DI PERTINENZA;1393592,755;4994607,984
POINT (1393909.978 4995195.848);173;competenza della Circoscrizione;Campo Luini;NO;;VIA BERNARDINO LUINI 170;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=140;CALCIO;1393909,978;4995195,848
POINT (1393909.978 4995195.848);469;competenza della Circoscrizione;Campo Luini;NO;;VIA BERNARDINO LUINI 170;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=140;EDIFICI DI PERTINENZA;1393909,978;4995195,848
POINT (1392393.719 4995072.672);148;competenza della Circoscrizione;Cral GTT;NO;;VIA DEI GLADIOLI 33/A;TORINO;10151;5;http://www.comune.torino.it/php/impiantiSportivi/user.php?context=impianti&submitAction=dettaglio&refScheda=141;CALCIO;1392393,719;4995072,672
