Categoria criminologa;Sottocategoria Criminologica;Circoscrizione;Localita;Area Verde;Data;Ora
Convivenza Civile;Altro;4;FRANCIA/(CORSO)                                                       ;;08/04/2015;
Convivenza Civile;Altro;9;SEBASTOPOLI/(CORSO)                                                   ;;08/04/2015;
Convivenza Civile;Altro;1;CAVOUR (VIA)                                                          ;;09/04/2015;
Convivenza Civile;Altro;3;SAFFI/AURELIO (VIA)                                                   ;;09/04/2015;
Convivenza Civile;Altro;5;SANSOVINO/ANDREA (VIA)                                                ;;09/04/2015;
Convivenza Civile;Altro;4;S. GIOVANNI BOSCO/(VIA)                                               ;;10/04/2015;
Convivenza Civile;Altro;6;GIULIO CESARE/(CORSO)                                                 ;;10/04/2015;
Convivenza Civile;Altro;1;OZANAM/FEDERICO (VIA)                                                 ;;12/04/2015;
Convivenza Civile;Altro;1;PRINCIPE AMEDEO/(VIA)                                                 ;;13/04/2015;
Convivenza Civile;Altro;8;DANTE/(CORSO)                                                         ;;13/04/2015;
Convivenza Civile;Altro;8;SALUZZO/(VIA)                                                         ;;13/04/2015;
Convivenza Civile;Altro;7;BAVA/EUSEBIO (VIA)                                                    ;;15/04/2015;
Convivenza Civile;Altro;7;BELLARDO/(STRADA DEL)                                                 ;;15/04/2015;
Convivenza Civile;Altro;10;MONASTIR/(VIA)                                                        ;;15/04/2015;
Convivenza Civile;Altro;5;GROSSETO/(CORSO)                                                      ;;16/04/2015;
Convivenza Civile;Altro;2;SANREMO/(VIA)                                                         ;;17/04/2015;
Convivenza Civile;Altro;7;CECCHI/ANTONIO (VIA)                                                  ;;17/04/2015;
Convivenza Civile;Altro;2;ROSSELLI/CARLO E NELLO (CORSO)                                        ;;20/04/2015;
Convivenza Civile;Altro;5;BONGIOVANNI/EMILIO (VIA)                                              ;;20/04/2015;
Convivenza Civile;Altro;7;S. SEBASTIANO PO/(VIA)                                                ;;20/04/2015;
Convivenza Civile;Altro;4;ROSAI/OTTONE(CORSO)                                                   ;;21/04/2015;
Convivenza Civile;Altro;7;BELGIO/(CORSO)                                                        ;;21/04/2015;
Convivenza Civile;Altro;7;CECCHI/ANTONIO (VIA)                                                  ;;21/04/2015;
Convivenza Civile;Altro;4;APPIO CLAUDIO/(CORSO)                                                 ;;23/04/2015;
Convivenza Civile;Altro;4;RISORGIMENTO/(PIAZZA)                                                 ;;27/04/2015;
