WKT_GEOM;ID_AREE;DENOM;AMBITO;TIPO;LOTTO;GESTIONE;COORD_X;COORD_Y
POLYGON ((1398535.324 4993694.36,1398530.835 4993693.504,1398530.316 4993696.664,1398530.114 4993699.86,1398530.231 4993703.06,1398530.668 4993706.233,1398531.418 4993709.346,1398532.476 4993712.369,1398533.829 4993715.272,1398535.528 4993718.118,1398538.923 4993715.73,1398539.123 4993715.431,1398539.052 4993715.045,1398538.734 4993714.565,1398536.921 4993711.023,1398535.6 4993707.237,1398534.993 4993704.781,1398534.748 4993700.362,1398535.324 4993694.36));7983;PIAZZALE CROCE ROSSA ITALIANA;PIAZZALE CROCE ROSSA ITALIANA / V. BOLOGNA;BANCHINA ALBERATA;6;COMUNALE;1398534,625;4993705,25
POLYGON ((1392573.448 4985593.31,1392566.93 4985595.066,1392568.119 4985599.737,1392579.025 4985596.958,1392577.798 4985592.138,1392573.448 4985593.31));8981;VIA RIBOLI TIMOTEO;VIA RIBOLI TIMOTEO;VERDE VARIO;10;COMUNALE;1392572,9375;4985596
POLYGON ((1393209.52 4993166.053,1393208.18 4993130.37,1393145.817 4993134.494,1393147.162 4993167.898,1393148.657 4993207.825,1393177.924 4993206.85,1393177.289 4993178.769,1393183.963 4993178.412,1393184.052 4993172.095,1393184.193 4993170.876,1393184.531 4993169.948,1393185.222 4993169.196,1393186.798 4993168.305,1393189.99 4993167.209,1393191.549 4993166.834,1393193.355 4993166.64,1393209.52 4993166.053));6987;SCUOLA;SCUOLA MATERNA DE MURO;VERDE SCOLASTICO;4;COMUNALE;1393177,625;4993155,5
POLYGON ((1398477.87 4997537.41,1398475.676 4997531.792,1398473.3 4997526.243,1398471.717 4997522.837,1398470.032 4997519.484,1398463.82 4997507.981,1398460.961 4997503.221,1398458.882 4997500.143,1398456.32 4997496.785,1398453.576 4997493.591,1398451.66 4997491.54,1398449.264 4997489.226,1398440.893 4997489.562,1398440.532 4997489.858,1398440.437 4997490.315,1398440.65 4997490.73,1398445.294 4997495.395,1398449.165 4997499.767,1398452.791 4997504.344,1398456.16 4997509.112,1398459.264 4997514.058,1398462.092 4997519.167,1398463.898 4997522.821,1398466.239 4997528.17,1398468.284 4997533.64,1398470.026 4997539.213,1398470.417 4997540.014,1398471.064 4997540.626,1398471.849 4997540.965,1398479.372 4997542.585,1398477.87 4997537.41));5990;VIALE FALCHERA;V.LE FALCHERA / V. SANT'ELIA /  ST. ABBADIA DI ST.;BANCHINA ALBERATA;6;COMUNALE;1398459,875;4997508,25
POLYGON ((1398552.176 4993730.752,1398553.254 4993727.469,1398553.273 4993726.909,1398552.988 4993726.427,1398552.705 4993726.241,1398549.703 4993724.925,1398546.604 4993723.087,1398544.789 4993721.731,1398542.208 4993719.302,1398541.919 4993719.169,1398541.544 4993719.283,1398538.464 4993721.869,1398540.735 4993724.127,1398543.22 4993726.147,1398545.894 4993727.909,1398548.731 4993729.395,1398552.176 4993730.752));7984;PIAZZALE CROCE ROSSA ITALIANA;PIAZZALE CROCE ROSSA ITALIANA;BANCHINA ALBERATA;6;COMUNALE;1398545,75;4993725
POLYGON ((1392545.395 4985600.871,1392536.526 4985603.261,1392537.559 4985607.525,1392566.096 4985600.253,1392564.915 4985595.61,1392545.395 4985600.871));8982;VIA RIBOLI TIMOTEO;VIA RIBOLI TIMOTEO;VERDE VARIO;10;COMUNALE;1392551,875;4985601,5
POLYGON ((1393214.496 4993189.061,1393214.803 4993189.446,1393215.236 4993189.725,1393216.09 4993189.981,1393216.94 4993189.931,1393217.732 4993189.642,1393218.407 4993189.054,1393218.85 4993188.141,1393218.975 4993187.193,1393218.983 4993185.069,1393218.25 4993165.487,1393218.201 4993164.776,1393217.673 4993164.142,1393217.475 4993164.046,1393216.65 4993164.023,1393215.991 4993164.519,1393215.784 4993165.317,1393216.29 4993185.201,1393216.192 4993185.78,1393215.924 4993186.35,1393214.641 4993187.819,1393214.431 4993188.434,1393214.496 4993189.061));6988;VIA DOMODOSSOLA;VIA DOMODOSSOLA / VIA LESSONA;BANCHINA ALBERATA;4;COMUNALE;1393216,75;4993177
POLYGON ((1398357.073 4997437.952,1398363.398 4997441.406,1398377.188 4997449.711,1398390.359 4997457.477,1398405.578 4997466.617,1398422.203 4997476.719,1398431.64 4997482.808,1398434.043 4997483.431,1398434.908 4997483.577,1398426.352 4997477.672,1398406.773 4997466.023,1398371.547 4997444.711,1398362.93 4997439.641,1398354.201 4997434.654,1398352.244 4997433.721,1398350.155 4997432.915,1398348.866 4997432.86,1398348.781 4997433.171,1398348.853 4997433.634,1398354.653 4997436.618,1398357.073 4997437.952));5991;VIALE FALCHERA;VIALE FALCHERA  / STR. ABBADIA DI STURA;BANCHINA ALBERATA;6;COMUNALE;1398392,75;4997458
POLYGON ((1398564.221 4993733.617,1398563.144 4993728.827,1398562.918 4993728.422,1398562.531 4993728.142,1398560.354 4993727.709,1398557.38 4993727.487,1398556.832 4993727.603,1398556.432 4993727.995,1398555.617 4993731.673,1398558.78 4993732.171,1398562.326 4993732.352,1398563.107 4993732.506,1398563.765 4993732.954,1398564.221 4993733.617));7985;PIAZZALE CROCE ROSSA ITALIANA;PIAZZALE CROCE ROSSA ITALIANA / VIA FUSINATO;BANCHINA ALBERATA;6;COMUNALE;1398559,6875;4993730,5
POLYGON ((1392475.147 4985620.979,1392456.031 4985550.572,1392418.726 4985560.638,1392389.551 4985568.877,1392415.99 4985665.764,1392418.829 4985664.919,1392424.915 4985686.498,1392488.652 4985670.809,1392475.147 4985620.979));8983;VIA FARINELLI ARTURO;VIA FARINELLI ARTURO;VERDE VARIO;10;COMUNALE;1392439,125;4985619
