WKT_GEOM;ID_CAR_SHARING;DENOMINAZIONE;UBICAZIONE;URL;TIPO;ID_TIPO;COORD_X;COORD_Y
POINT (1394989.4595752 4989339.34146155);11;Dante;Corso Dante, angolo Corso Turati.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1394989,4595752;4989339,34146155
POINT (1394748.10336095 4989892.46877084);12;Caboto;Corso Galileo Ferraris, angolo Via Caboto.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1394748,10336095;4989892,46877084
POINT (1395266.45773802 4989735.25552686);13;Turati;Corso Turati, di fronte al numero 15 Bis.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico / Elettrico;3;1395266,45773802;4989735,25552686
POINT (1394208.02504222 4990428.77878867);14;Lione;Corso Lione, angolo Via Braccini.;http://www.carcityclub.it/mappa-parcheggi;Classico;5;1394208,02504222;4990428,77878867
POINT (1395244.9954953 4990159.52449302);15;Sommeiller;Corso Re Umberto, angolo Corso Sommeiller.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1395244,9954953;4990159,52449302
POINT (1395946.84580267 4989533.88064214);16;Raffaello;Corso Raffaello, angolo Via Madama Cristina.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1395946,84580267;4989533,88064214
POINT (1394628.78186815 4990588.3761787);17;Einaudi;Corso Duca degli Abruzzi, angolo Corso Einaudi.;http://www.carcityclub.it/mappa-parcheggi;Classico;5;1394628,78186815;4990588,3761787
POINT (1392652.92506649 4991015.60143745);18;Monginevro;Corso Trapani, di fronte al numero 158.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1392652,92506649;4991015,60143745
POINT (1393682.82771248 4991082.23167672);19;Sabotino;"Piazza Sabotino, di fronte al numero 84/B (banchina centrale). &Egrave; disponibile anche il servizio Van Sharing.";http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1393682,82771248;4991082,23167672
POINT (1395926.84992104 4990142.46649818);20;Saluzzo;Corso Marconi, di fronte al numero 4.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1395926,84992104;4990142,46649818
POINT (1392280.90293624 4991280.89993311);21;Tofane;Via Tofane, angolo Corso Monte Cucco.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1392280,90293624;4991280,89993311
POINT (1395692.09164119 4990937.90946786);22;Re Umberto;Corso Vittorio Emanuele II, di fronte al numero 71.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1395692,09164119;4990937,90946786
POINT (1396058.44081919 4990696.90928608);23;Porta Nuova;Via Nizza 2, lato Porta Nuova.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1396058,44081919;4990696,90928608
POINT (1394050.90377119 4991788.15371432);24;Adriano;Piazza Adriano, di fronte al numero 9/B.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1394050,90377119;4991788,15371432
POINT (1396094.28783226 4990847.55637596);25;Carlo Felice;Piazza Carlo Felice, di fronte al numero 67.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1396094,28783226;4990847,55637596
POINT (1395461.47514865 4991286.04411886);26;Matteotti;Corso Galileo Ferraris, angolo Corso Matteotti;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1395461,47514865;4991286,04411886
POINT (1394821.63175385 4991617.81742848);27;Inghilterra;Corso Inghilterra, angolo Via Cavalli.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1394821,63175385;4991617,81742848
POINT (1396398.59764876 4990800.2664058);28;Bodoni;Via Pomba, angolo Via Mazzini. Consente l'utilizzo di Van Sharing.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1396398,59764876;4990800,2664058
POINT (1393317.34606372 4992191.75800561);29;Rivoli;Corso Vittorio Emanuele II 237 (Piazza Rivoli).;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1393317,34606372;4992191,75800561
POINT (1396971.11626408 4990381.40641689);30;Cairoli;Corso Cairoli, di fronte al numero 32/A;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1396971,11626408;4990381,40641689
POINT (1392638.14294509 4992194.72311084);31;Monte Cucco;Corso Monte Cucco, angolo Corso Francia (Tesoriera).;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1392638,14294509;4992194,72311084
POINT (1395814.41446445 4991416.27266255);32;Solferino;Via Arcivescovado, angolo Piazza Solferino.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico / Elettrico;3;1395814,41446445;4991416,27266255
POINT (1396273.10352633 4991179.77528276);33;CLN;Piazza CLN, angolo Via Gobetti. Consente l'utilizzo di Van Sharing.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico / Elettrico;3;1396273,10352633;4991179,77528276
POINT (1395143.84585587 4991881.19176743);34;Bolzano;Corso Bolzano, di fronte al numero 44.;http://www.carcityclub.it/mappa-parcheggi;Andata / Elettrico;4;1395143,84585587;4991881,19176743
POINT (1395345.69680291 4991864.76094191);35;Vinzaglio;Corso Vinzaglio, angolo Via Cernaia;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1395345,69680291;4991864,76094191
POINT (1395885.71594319 4991683.68008993);36;Stampatori;Via Stampatori, angolo Via Cernaia.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1395885,71594319;4991683,68008993
POINT (1396230.11412142 4991470.27099436);37;Santa Teresa;Via Santa Teresa, angolo Via XX Settembre.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1396230,11412142;4991470,27099436
POINT (1395193.65321579 4992084.94179275);38;XVIII Dicembre;Piazza XVIII Dicembre, di fronte al numero 4/G.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1395193,65321579;4992084,94179275
POINT (1391341.66782698 4992240.70640253);39;Massaua;Piazza Massaua, angolo Via Pietro Cossa.;http://www.carcityclub.it/mappa-parcheggi;Andata / Classico;2;1391341,66782698;4992240,70640253
