WKT_GEOM;ID_STALLO;ELEM_RIL;NUM_STALLI;ORDINANZA;NOTE;VIA;NUM_CIVICO;DATA_RIL;COORD_X;COORD_Y
POINT (1396146.75266608 4991515.38512091);1519;Stalli disabili;1;2012_02975;Nessuna;VIA S_ TERESA;16;20150324000000;;
POINT (1396472.96351241 4991347.33963458);1520;Stalli disabili;1;ND;Nessuna;VIA MARIA VITTORIA;5;20150324000000;;
POINT (1396516.56874481 4991327.26457526);1521;Stalli disabili;1;ND;Nessuna;VIA MARIA VITTORIA;5;20150324000000;;
POINT (1396612.50965615 4991276.2060981);1522;Stalli disabili;1;ND;Nessuna;VIA MARIA VITTORIA;15;20150324000000;;
POINT (1396859.50513221 4991137.59126429);1523;Stalli disabili;1;ND;Nessuna;PIAZZA CARLO EMANUELE II;15;20150324000000;;
POINT (1396980.86471024 4991081.91302405);1525;Stalli disabili;1;ND;Nessuna;VIA MARIA VITTORIA;35;20150324000000;;
POINT (1397019.14530509 4991052.54590285);1526;Stalli disabili;1;ND;Nessuna;VIA DELLE ROSINE;10;20150324000000;;
POINT (1396988.71862478 4991002.33665381);1527;Stalli disabili;1;ND;Nessuna;VIA DELLE ROSINE;14;20150324000000;;
POINT (1397241.32956473 4990751.36761253);1529;Stalli disabili;1;ND;Nessuna;VIA GIOLITTI GIOVANNI;53;20150324000000;;
POINT (1397085.60951056 4990817.86468869);1530;Stalli disabili;1;ND;Nessuna;VIA DELLA ROCCA;20;20150324000000;;
POINT (1396909.35848594 4990930.79795579);1531;Stalli disabili;1;ND;Nessuna;VIA GIOLITTI GIOVANNI;33;20150324000000;;
POINT (1397264.30242236 4990869.17304456);1532;Stalli disabili;1;ND;Nessuna;VIA MARIA VITTORIA;56;20150324000000;;
POINT (1396947.23364796 4990924.78798098);1535;Stalli disabili;1;ND;Nessuna;VIA DELLE ROSINE;18;20150324000000;;
POINT (1397149.34820538 4991003.2155537);1536;Stalli disabili;1;ND;Nessuna;VIA PLANA GIOVANNI;1;20150324000000;;
POINT (1397120.12451376 4990971.12925664);1537;Stalli disabili;1;ND;Nessuna;VIA PLANA GIOVANNI;5;20150324000000;;
POINT (1397059.74869705 4990905.77512137);1538;Stalli disabili;1;ND;Nessuna;VIA PLANA GIOVANNI;10;20150324000000;;
POINT (1396149.34539645 4991256.75517783);1539;Stalli disabili;1;ND;Nessuna;VIA VENTI SETTEMBRE;36;20150324000000;;
