WKT_GEOM;DESC_RIP;INSEGNA;INDIRIZZ;FRONTE;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;COORD_X;COORD_Y
POINT (1392656.759 4991257.606);AGENZIE AFFARI;;VIA MONTE ORTIGARA 8;No;2090;51;3;272;10141;1392656.759;4991257.606
POINT (1397901.688 4991408.179);AGENZIE AFFARI;;VIA GIOVANNI FRANCESCO NAPIONE 30;No;414;11;7;636;10124;1397901.688;4991408.179
POINT (1395306.512 4990703.353);AGENZIE AFFARI;;VIA RODOLFO MONTEVECCHIO 27;No;802;18;1;51;10128;1395306.512;4990703.353
POINT (1391371.686 4991082.067);AGENZIE AFFARI;;VIA MONGINEVRO 248 bis;No;2751;63;3;304;10142;1391371.686;4991082.067
POINT (1391563.889 4985581.35);AGENZIE AFFARI;;VIA MONTEPONI 26;No;3066;90;2;880;10135;1391563.889;4985581.35
POINT (1392640.528 4992186.977);AGENZIE VIAGGIO;BEACH SHINING;CORSO MONTE CUCCO 1/E;No;1373;32;3;0;10139;1392640.528;4992186.977
POINT (1392622.105 4991060.008);AGENZIE VIAGGIO;CARS AND COFFEE;VIA MONGINEVRO 122;No;2096;52;3;300;10141;1392622.105;4991060.008
POINT (1392523.588 4991055.424);AGENZIE AFFARI;;VIA MONGINEVRO 132/C;No;2096;52;3;0;10141;1392523.588;4991055.424
POINT (1396620.976 4988981.288);TRATTENIMENTI;BAMBOO;CORSO MONCALIERI 145;No;2474;70;8;774;10133;1396620.976;4988981.288
POINT (1397268.474 4990404.372);TRATTENIMENTI;TEATRO ORFEO;CORSO MONCALIERI 18;No;594;15;8;744;10131;1397268.474;4990404.372
POINT (1396597.425 4990797.707);AGENZIE VIAGGIO;EQUINOXE VIAGGI;VIA DEI MILLE 18;No;248;07;1;34;10123;1396597.425;4990797.707
POINT (1396815.456 4990587.027);AGENZIE AFFARI;;VIA GIUSEPPE MAZZINI 48;No;258;07;1;31;10123;1396815.456;4990587.027
POINT (1396660.916 4990681.048);AGENZIE AFFARI;;VIA GIUSEPPE MAZZINI 27;No;249;07;1;33;10123;1396660.916;4990681.048
POINT (1396043.008 4988582.678);TRATTENIMENTI;LA BARCA GENNA (RISTORANTE E BAR SUL PO);VIALE MARINAI D'ITALIA 21/A;No;927;20;8;0;10126;1396043.008;4988582.678
POINT (1396584.783 4991294.115);AGENZIE AFFARI;;VIA MARIA VITTORIA 13;No;93;03;1;9;10123;1396584.783;4991294.115
POINT (1396242.958 4990901.807);AGENZIE AFFARI;;VIA GIUSEPPE MAZZINI 3;No;141;04;1;15;10123;1396242.958;4990901.807
POINT (1394572.114 4985939.805);AGENZIE VIAGGIO;ADRI E AME VIAGGI;CORSO PIERO MARONCELLI 32/B;No;2304;58;8;0;10127;1394572.114;4985939.805
POINT (1395303.07354237 4991417.87232029);AGENZIE VIAGGIO;;CORSO GIACOMO MATTEOTTI 32/A;No;299;08;1;37;10121;1395303.07354237;4991417.87232029
POINT (1398251.133 4990903.539);AGENZIE VIAGGIO;GRAN TOUR EVENTS;VIA MONCALVO 44;No;556;13;8;740;10131;1398251.133;4990903.539
POINT (1391278.584 4988665.542);AGENZIE VIAGGIO;SAVOIA VIAGGI;VIA AMEDEO MODIGLIANI 3;No;2745;62;2;177;10137;1391278.584;4988665.542
