ID_MERC;DENOM;LUOGO;GIORNI;CIRCOSCRIZ;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
14;Crispi;piazza Crispi;dal lunedi al sabato;6;POLYGON ((7.688782261856037 45.08962559431767, 7.688545161265608 45.08914048599131, 7.688847656769386 45.08899293364901, 7.689089471656491 45.08955022779196, 7.688782261856037 45.08962559431767));45.08932271226906;7.688817627824242;18;Barriera di Milano;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
20;Foroni;piazze Foroni, Cerignola, vie Baltea, Monterosa, Santhia';dal lunedi al sabato;6;POLYGON ((7.695171364544708 45.09049036708025, 7.694925702177487 45.09005861274044, 7.693802927378547 45.09033642510951, 7.693548736140237 45.09039435085099, 7.693546046908904 45.09030306837801, 7.693853245748735 45.09022209129441, 7.695004406288588 45.08995474198993, 7.695311524308416 45.08987713974712, 7.695759044000263 45.08950034815138, 7.695726578406799 45.08945942091523, 7.695789432258128 45.08942296238376, 7.695892060620333 45.08952552561102, 7.696059774976465 45.08970318542374, 7.696808174933913 45.08952246851607, 7.696854335923263 45.08959058932296, 7.696115474906277 45.08977141548239, 7.696439983673094 45.09018744397684, 7.696348817643798 45.09021006077651, 7.695995690320886 45.08979370513504, 7.695367223503273 45.08994537016054, 7.695104291369995 45.09017388703857, 7.695252923710554 45.0904673815916, 7.695171364544708 45.09049036708025));45.08993265019016;7.695361236641658;18;Barriera di Milano;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
40;Taranto;corso Taranto tra piazza Sofia e via Corelli;dal lunedi al sabato;6;POLYGON ((7.710325420706381 45.09688667310188, 7.710106223799942 45.09664166475171, 7.715252513532613 45.09428953654347, 7.71554694687108 45.09452022340417, 7.710325420706381 45.09688667310188));45.09557371639775;7.712832286019395;20;Regio Parco;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
11;Chieti;corso Chieti;dal lunedi al sabato;7;POLYGON ((7.714156476659316 45.07302164090844, 7.71559861442132 45.07240379831759, 7.715666682327265 45.0724672321337, 7.714551465950676 45.07295006827488, 7.714413982412207 45.07310056206717, 7.714156476659316 45.07302164090844));45.072765898574346;7.714879618900493;8;Vanchiglia;Aurora, Vanchiglia - Sassi - Madonna del Pilone
34;S.Giulia;vie S.Giulia, Balbo, piazza S.Giulia, corso Regina;dal lunedi al sabato;7;MULTIPOLYGON (((7.699551049556236 45.07047069507988, 7.699486408037159 45.07041792144148, 7.700586324004209 45.06970730816997, 7.700641002100201 45.06975279023296, 7.700322124347674 45.06996807566517, 7.700503758130774 45.07011010567334, 7.700305774884044 45.07024243091691, 7.700970524131712 45.07074381275105, 7.700855788000516 45.07077839484737, 7.700231130070672 45.07029577157552, 7.700038534232931 45.07041380258279, 7.699836607179764 45.07027333510921, 7.699551049556236 45.07047069507988)), ((7.70010289770856 45.07103718812299, 7.700710143604114 45.07083595209043, 7.700749673745966 45.07087946730636, 7.700147694195247 45.07107179157115, 7.70010289770856 45.07103718812299)));45.0703112471328;7.700263287213888;8;Vanchiglia;Aurora, Vanchiglia - Sassi - Madonna del Pilone
9;Casale;piazza Borromini;dal lunedi al sabato;7;POLYGON ((7.709319385655884 45.06715887065222, 7.709300429218042 45.06712220838396, 7.709309223421992 45.06708305617783, 7.709396746077373 45.06706161618923, 7.710917967636601 45.0673255285985, 7.710964927943361 45.06734848837473, 7.710964108615952 45.06738492706582, 7.710899309854199 45.06745148387465, 7.709319385655884 45.06715887065222));45.06725306192082;7.710153430232643;21;Madonna del Pilone;Aurora, Vanchiglia - Sassi - Madonna del Pilone
24;Madama Cristina;piazza Madama Cristina;dal lunedi al sabato;8;MULTIPOLYGON (((7.683588095023458 45.05923512532998, 7.683173037303635 45.05868007552319, 7.683433994819129 45.05858576000036, 7.683842727987298 45.05915473893049, 7.683587923206254 45.05924260991617, 7.683588095023458 45.05923512532998)), ((7.683382873594446 45.05828196435039, 7.683680875063001 45.05818433221008, 7.684248240373958 45.05900690896598, 7.683976550215495 45.05910858918489, 7.683893728214625 45.0591371510949, 7.68397127010676 45.05910852831514, 7.683382873594446 45.05828196435039)), ((7.683842727987298 45.05915473893049, 7.683893728214625 45.0591371510949, 7.683843430746438 45.05915571718722, 7.683842727987298 45.05915473893049)));45.05874568710009;7.683700373359791;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
29;Nizza;piazza Nizza;dal lunedi al sabato;8;POLYGON ((7.675019055314065 45.05201534529801, 7.674536101827918 45.05072820398788, 7.674753752137002 45.05065103342886, 7.675231698546407 45.05196043100889, 7.675222338242458 45.05197626186779, 7.675019055314065 45.05201534529801));45.05133566694422;7.6748844486240335;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
38;Spezia;corso Spezia, piazza Bozzolo;dal lunedi al sabato;8;POLYGON ((7.669388337117401 45.03757529679042, 7.669296579515559 45.03734570259075, 7.670876835740663 45.03701994867419, 7.671215806506191 45.03663567818259, 7.671344490809572 45.0366123962014, 7.671663761203608 45.03741457132442, 7.67157001500074 45.0374382602366, 7.671480788138147 45.03743446857052, 7.670960707328188 45.03725495642342, 7.669388337117401 45.03757529679042));45.037185939157766;7.67068262315238;9;Nizza mille fonti;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
5;Bengasi;piazza Bengasi, via Onorato Vigliani;dal lunedi al sabato;8;POLYGON ((7.660971784927857 45.01642039177328, 7.661381962475694 45.01750630142131, 7.660666547841707 45.01765829295585, 7.660506636004833 45.01769205732306, 7.660074196232418 45.01774044328625, 7.659443930326423 45.01765285234188, 7.659149127120011 45.01754543822976, 7.659189784985693 45.01741820352886, 7.659786141570073 45.01752321810017, 7.660581027450234 45.01737513460328, 7.660358060992452 45.01670128642614, 7.660591598311222 45.01638326108007, 7.660971784927857 45.01642039177328));45.01718605399071;7.660594730719473;9;Nizza mille fonti;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
31;Pavese;via Pavese;dal lunedi al sabato;2;POLYGON ((7.630460873792694 45.01794358209132, 7.6303069516352 45.01780078287051, 7.633156734012734 45.01670144687375, 7.633227741666055 45.01684912260583, 7.630460873792694 45.01794358209132));45.017336739584394;7.6317538202775435;23;Mirafiori Sud;Santa Rita - Mirafiori
27;Mirafiori Sud;via Plava vicino via Negarville;dal lunedi al sabato;2;POLYGON ((7.611291540916876 45.02176094048067, 7.610890058456919 45.0212421871494, 7.61113825627183 45.02114426858715, 7.611535206949551 45.02167214216287, 7.611291540916876 45.02176094048067));45.021453219471624;7.611212785188138;23;Mirafiori Sud;Santa Rita - Mirafiori
1;Balon;vie Borgo Dora, Lanino, Mameli, Andreis, Canale Molassi;sabato;7;MULTIPOLYGON (((7.683434776097211 45.0779158677347, 7.683529488203191 45.07790357895915, 7.683605233685704 45.07830588344675, 7.684005576593948 45.07814323629852, 7.684060222977554 45.07823084296421, 7.683639001105509 45.07848022626184, 7.683605670840521 45.07849935775994, 7.683751601010793 45.07942130446892, 7.683705728919871 45.07943422970244, 7.683698938385692 45.07939917061199, 7.683672854265828 45.07937734320284, 7.683595907032618 45.07892439641144, 7.683455112962507 45.07893622692396, 7.683310239345803 45.07912560502429, 7.683285170865935 45.07922487661195, 7.68333137841744 45.07936264191576, 7.683506743662809 45.07949920589802, 7.683368817962315 45.0795514318454, 7.683187095395251 45.07936097770728, 7.683165364761586 45.07931498292366, 7.683208526483555 45.07908945103996, 7.683345559318397 45.07891074595381, 7.683473761479322 45.0787857554783, 7.683551244139668 45.07871937824745, 7.683540965877873 45.07867082477311, 7.683520038618195 45.0785898585189, 7.68206709789818 45.0786834179414, 7.682017181690063 45.07870705913702, 7.681819041225427 45.07857022985701, 7.682039793508764 45.07838442050956, 7.681927372828618 45.07831854262189, 7.682716091149676 45.07771144615466, 7.682844749943555 45.07773176650568, 7.682032509140259 45.07837088225993, 7.682328192644551 45.0785599628859, 7.682292969273823 45.07860530044022, 7.682323034945338 45.07861910162902, 7.683529239146014 45.07852000302439, 7.683434776097211 45.0779158677347)), ((7.682751315544218 45.0801443634011, 7.682812920889756 45.08043837469953, 7.68279368856724 45.08044891610621, 7.682764450525705 45.08056428442494, 7.682787232528335 45.08056454729654, 7.682457764877642 45.08184427094914, 7.682400932320025 45.08183823334964, 7.682379348753046 45.08195099905913, 7.682349095752369 45.08194526821305, 7.682210799290039 45.08250874597657, 7.682116118578021 45.08249688966873, 7.682290631276643 45.08184503271013, 7.682585520996946 45.08074788692754, 7.682456608138129 45.08073832668648, 7.682365146916179 45.08058658459755, 7.682584111788195 45.08047878768652, 7.682595948897505 45.08012911640633, 7.682751315544218 45.0801443634011)), ((7.683301612147852 45.07966636241612, 7.683791451742469 45.07950517967496, 7.684085103778425 45.08011400179468, 7.683978417851143 45.08012891694443, 7.684029750530285 45.08037437422013, 7.684201599499757 45.08066427388449, 7.684304086182264 45.08083228654739, 7.684154890422819 45.0808790018723, 7.683899355372016 45.08042937843181, 7.683809284141864 45.08005162380073, 7.683641723161249 45.08007121842258, 7.683595452529457 45.07993614336465, 7.683595390730494 45.07993883347437, 7.683301612147852 45.07966636241612)));45.0797201246119;7.683094857236994;7;Aurora;Aurora, Vanchiglia - Sassi - Madonna del Pilone
33;Porta Palazzo;piazza della Repubblica;dal lunedi al sabato;7;MULTIPOLYGON (((7.682364039622242 45.07704417695412, 7.68207001254355 45.07658586524574, 7.682327079677504 45.07614557964268, 7.682679569119649 45.07603008600923, 7.682735364343467 45.0761094655962, 7.682436833699105 45.07620516919985, 7.682222120246054 45.07659345346983, 7.682492733959915 45.07699608794289, 7.682364039622242 45.07704417695412)), ((7.682674133892638 45.07537126746635, 7.682972341396671 45.07582670980517, 7.682706997428236 45.07591113242613, 7.682404744079188 45.07545272656866, 7.682674133892638 45.07537126746635)), ((7.68241366449754 45.07685490910788, 7.682397943158907 45.07682265012792, 7.682671722166378 45.07672957715202, 7.682875027276047 45.07630033447575, 7.682708110006126 45.07604178829234, 7.683056550452211 45.07592333063548, 7.683410962146313 45.07644065906549, 7.683472510095185 45.07662800175794, 7.683412359967003 45.07673812132944, 7.683307216229107 45.07683605737548, 7.682701918835447 45.07702737173074, 7.68254104440298 45.0770430120865, 7.68241366449754 45.07685490910788)), ((7.682736522297074 45.07534282598779, 7.683022570298917 45.07525280985351, 7.683328942197634 45.07571126159246, 7.683034730170672 45.07579826816102, 7.682736522297074 45.07534282598779)), ((7.683330042791708 45.07584250054396, 7.683484953353466 45.07608632667682, 7.684365512000218 45.07627436266673, 7.684680565272944 45.07617592825825, 7.684787846397828 45.07634338420118, 7.683780023998513 45.07667878918456, 7.683677492512531 45.07666302628115, 7.683604165422906 45.07663010321853, 7.683551545592862 45.07659158663234, 7.68310233353373 45.07590111290202, 7.683330042791708 45.07584250054396)), ((7.683306106358942 45.07706350337687, 7.683222243573306 45.07695172281766, 7.683326182014971 45.07690626344714, 7.68343329731799 45.07690166655992, 7.683564698805157 45.0769148464701, 7.683719315237886 45.07699244895083, 7.684093308767706 45.0775537430227, 7.683910922269193 45.07760996326175, 7.683576737615427 45.07710745043627, 7.683306106358942 45.07706350337687)), ((7.683407282389518 45.07588421732483, 7.68336336138292 45.07582538799709, 7.683799075812408 45.07567002480059, 7.684449814210298 45.07582916493956, 7.684660661296176 45.0761465375294, 7.684544582162946 45.07618310980904, 7.684353639308828 45.07589512777886, 7.684345744744392 45.07588045610169, 7.68380927705461 45.07576345886262, 7.683788904987973 45.0757544755658, 7.683407282389518 45.07588421732483)), ((7.684400140154467 45.07745521462569, 7.684180320232461 45.07752850072779, 7.683822516876297 45.07697905815057, 7.68380766512149 45.0769088995952, 7.68384299280558 45.0768043259162, 7.683902271827337 45.07673210587367, 7.684022734913244 45.07668392023903, 7.684113993603244 45.0766528946819, 7.684215855842396 45.07669781086365, 7.68423616138861 45.07670970945997, 7.684102113854523 45.07699102981685, 7.684400140154467 45.07745521462569)), ((7.684719716079317 45.07733933540583, 7.684504749742563 45.07702191552048, 7.68457359585504 45.07689148261127, 7.685012961686446 45.07675656984456, 7.685088665271082 45.07686533897702, 7.684864934866389 45.07728851797393, 7.684719716079317 45.07733933540583)));45.076472703186326;7.683504071317706;7;Aurora;Aurora, Vanchiglia - Sassi - Madonna del Pilone
