Categoria criminologa,Sottocategoria Criminologica,CIRCOSCRIZ,Localita,Area Verde,Data,Ora
Convivenza Civile,Altro,1,DE NICOLA/ENRICO (CORSO),,2016-04-28,
Convivenza Civile,Altro,6,MONTE ROSA/(VIA),,2016-04-28,
Convivenza Civile,Altro,7,ARTISTI/(VIA),,2016-04-28,
Convivenza Civile,Altro,8,NIZZA/(VIA),,2016-04-28,
Convivenza Civile,Altro,1,ARSENALE/(VIA),,2016-04-29,
Convivenza Civile,Altro,1,ROMA/(VIA),,2016-05-02,
Convivenza Civile,Altro,3,ASIAGO/(VIA),,2016-05-02,
Convivenza Civile,Altro,4,CREVACUORE/(VIA),,2016-05-02,
Convivenza Civile,Altro,7,VEZZOLANO/(VIA),,2016-05-02,
Convivenza Civile,Altro,6,COLONNA/VITTORIA (VIA),,2016-05-03,
Convivenza Civile,Altro,8,D'AZEGLIO/MASSIMO (CORSO),,2016-05-03,
Convivenza Civile,Altro,4,SVIZZERA/(CORSO),,2016-05-04,
Convivenza Civile,Altro,1,SOLFERINO/(PIAZZA),,2016-05-05,
Convivenza Civile,Altro,6,DONATORE DI SANGUE/(PIAZZA DEL),,2016-05-05,
Convivenza Civile,Altro,7,REPUBBLICA/(PIAZZA DELLA),,2016-05-05,
Convivenza Civile,Altro,1,BOUCHERON/CARLO (VIA),,2016-05-06,
Convivenza Civile,Altro,3,S. PAOLO/(VIA),,2016-05-06,
Convivenza Civile,Altro,6,SANTHIA'/(VIA),,2016-05-06,
Convivenza Civile,Altro,7,GIULIO CESARE/(CORSO),,2016-05-06,
Convivenza Civile,Altro,1,CARLO ALBERTO/(PIAZZA),,2016-05-08,
Convivenza Civile,Altro,7,CIGNA/FRANCESCO (VIA),,2016-05-09,
Convivenza Civile,Altro,7,VANCHIGLIA/(VIA),,2016-05-09,
Convivenza Civile,Altro,3,GERMONIO/ANASTASIO (VIA),,2016-05-10,
Convivenza Civile,Altro,9,NIZZA/(VIA),,2016-05-10,
Convivenza Civile,Altro,1,QUARTIERI/(VIA DEI),,2016-05-11,
Convivenza Civile,Altro,5,CHIESA DELLA SALUTE/(VIA),,2016-05-11,
Convivenza Civile,Altro,7,VERONA/(CORSO),,2016-05-11,11.24
Convivenza Civile,Altro,1,PAPACINO/ALESSANDRO VITTORIO (VIA),,2016-05-12,
Convivenza Civile,Altro,1,S. CROCE/(VIA),,2016-05-13,
Convivenza Civile,Altro,8,MARCONI/GUGLIELMO (CORSO),,2016-05-13,
Convivenza Civile,Altro,1,S. FRANCESCO DA PAOLA/(VIA),,2016-05-14,
Convivenza Civile,Altro,5,COPPINO/MICHELE (VIA),,2016-05-16,
Convivenza Civile,Altro,6,CILEA/FRANCESCO (VIA),,2016-05-16,
Convivenza Civile,Altro,1,CERNAIA/(VIA),Area Verde,2016-05-17,
Convivenza Civile,Altro,1,MAZZINI/GIUSEPPE (VIA),,2016-05-17,
Convivenza Civile,Altro,5,MATTIROLO/LUIGI (PIAZZA),,2016-05-17,
Convivenza Civile,Altro,6,SALASSA/(VIA),,2016-05-17,
Convivenza Civile,Altro,3,BRUNELLESCHI/FILIPPO (CORSO),,2016-05-18,
Convivenza Civile,Altro,4,AQUILA/(VIA),,2016-05-18,
Convivenza Civile,Altro,6,OXILIA/NINO (VIA),,2016-05-18,
Convivenza Civile,Altro,1,VITTORIO VENETO/(PIAZZA),,2016-05-19,
Convivenza Civile,Altro,3,SUSA/(VIA),,2016-05-19,
Convivenza Civile,Altro,4,SVIZZERA/(CORSO),,2016-05-19,
Convivenza Civile,Altro,5,POTENZA/(CORSO),,2016-05-19,
Convivenza Civile,Altro,,,Area Verde,2016-05-20,
Convivenza Civile,Altro,1,MARIA VITTORIA/(VIA),,2016-05-20,
Convivenza Civile,Altro,7,PESARO/(VIA),,2016-05-23,
Convivenza Civile,Altro,10,BARBERA/GASPERO (VIA),,2016-05-24,
Convivenza Civile,Altro,,,,2016-05-26,
Convivenza Civile,Altro,1,EINAUDI/LUIGI (CORSO),,2016-05-26,
Convivenza Civile,Altro,1,QUATTRO MARZO/(LARGO),,2016-05-26,
Convivenza Civile,Altro,4,REGINA MARGHERITA/(CORSO),,2016-05-26,
Convivenza Civile,Altro,4,ZUMAGLIA/(VIA),,2016-05-26,
Convivenza Civile,Altro,4,FABRIZI/NICOLA (VIA),,2016-05-27,
Convivenza Civile,Altro,5,PRIMULE/(VIA DELLE),,2016-05-27,
Convivenza Civile,Altro,10,TOGLIATTI/PALMIRO (VIA),,2016-05-29,
Convivenza Civile,Altro,1,CERNAIA/(VIA),,2016-05-30,
Convivenza Civile,Altro,1,REPUBBLICA/(PIAZZA DELLA),,2016-05-30,
Convivenza Civile,Altro,4,LECCE/(CORSO),,2016-05-30,
Convivenza Civile,Altro,10,NEGARVILLE/CELESTE (VIA),,2016-05-30,
Convivenza Civile,Altro,4,BIANCHI/NICOMEDE (VIA),,2016-05-31,
Convivenza Civile,Altro,5,CARDINALE MASSAIA/GUGLIELMO (VIA),,2016-05-31,
Convivenza Civile,Altro,8,VILLA DELLA REGINA/(VIA),,2016-05-31,
Convivenza Civile,Altro,9,GALIMBERTI/TANCREDI (PIAZZA),,2016-05-31,
Convivenza Civile,Altro,7,AOSTA/(VIA),,2016-06-03,
Convivenza Civile,Altro,7,VERONA/(CORSO),,2016-06-03,
Convivenza Civile,Altro,8,BARETTI/GIUSEPPE (VIA),,2016-06-03,
Convivenza Civile,Altro,7,BORGO DORA/(VIA),,2016-06-06,
Convivenza Civile,Altro,7,PALLANZA/(VIA),,2016-06-06,
Convivenza Civile,Altro,7,GUASTALLA/(VIA),,2016-06-07,
Convivenza Civile,Altro,8,MANCINI/PASQUALE STANISLAO (VIA),,2016-06-07,
Convivenza Civile,Altro,3,VILLA GIUSTI/(VIA),,2016-06-08,
Convivenza Civile,Altro,7,BIELLA/(VIA),,2016-06-08,
Convivenza Civile,Altro,7,GOZZANO/GUIDO (PIAZZA),,2016-06-08,
Convivenza Civile,Altro,4,NETRO/(VIA),,2016-06-09,
Convivenza Civile,Altro,5,GIACHINO/ERRICO (LARGO),,2016-06-09,
Convivenza Civile,Altro,7,CADORE/(CORSO),,2016-06-09,
Convivenza Civile,Altro,8,D'AZEGLIO/MASSIMO (CORSO),Area Verde,2016-06-10,
Convivenza Civile,Altro,7,COMO/(VIA),,2016-06-13,
Convivenza Civile,Altro,7,TRAFORO DI PINO/(STRADA AL),,2016-06-13,
Convivenza Civile,Altro,4,MONTE GRAPPA/(CORSO),,2016-06-14,
Convivenza Civile,Altro,5,ROCCAVIONE CONTE DI/(VIA),,2016-06-14,
Convivenza Civile,Altro,6,CRISPI/FRANCESCO (PIAZZA),,2016-06-14,
Convivenza Civile,Altro,6,CRISPI/FRANCESCO (PIAZZA),,2016-06-14,
Convivenza Civile,Altro,3,BRUNELLESCHI/FILIPPO (CORSO),,2016-06-15,
Convivenza Civile,Altro,4,FRANCIA/(CORSO),,2016-06-15,
Convivenza Civile,Altro,8,ORMEA/(VIA),,2016-06-15,
Convivenza Civile,Altro,1,MERCANTI/(VIA),,2016-06-16,
Convivenza Civile,Altro,3,FREJUS/(VIA),,2016-06-16,
Convivenza Civile,Altro,4,PRINCIPE ODDONE/(CORSO),,2016-06-16,
Convivenza Civile,Altro,5,FERMI/ENRICO (VIA),,2016-06-16,
Convivenza Civile,Altro,,,,2016-06-17,
Convivenza Civile,Altro,1,DE NICOLA/ENRICO (CORSO),,2016-06-17,
Convivenza Civile,Altro,2,AGNELLI/GIOVANNI (CORSO),,2016-06-17,
Convivenza Civile,Altro,2,PANIZZA/BARNABA (VIA),,2016-06-17,
Convivenza Civile,Altro,4,SALUGGIA/(VIA),,2016-06-17,
Convivenza Civile,Altro,5,SANSOVINO/ANDREA (VIA),,2016-06-20,
Convivenza Civile,Altro,7,BIELLA/(VIA),,2016-06-20,
Convivenza Civile,Altro,9,PANNUNZIO/MARIO (VIA),,2016-06-20,9.46
Convivenza Civile,Altro,1,AVOGADRO/AMEDEO (VIA),,2016-06-21,
Convivenza Civile,Altro,5,COSSA/PIETRO (VIA),,2016-06-21,
Convivenza Civile,Altro,8,BRAMANTE/(CORSO),,2016-06-21,
Convivenza Civile,Altro,3,PALMIERI/PIETRO (VIA),,2016-06-22,
Convivenza Civile,Altro,6,CRAVERO/GIOVANNI (VIA),,2016-06-22,
Convivenza Civile,Altro,1,AVOGADRO/AMEDEO (VIA),,2016-06-26,
Convivenza Civile,Altro,3,DI NANNI/DANTE (VIA),,2016-06-27,
