DESC_RIP;INSEGNA;INDIRIZZ;FRONTE;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;QUARTIERE;geometry;LATITUDE;LONGITUDE
TRATTENIMENTI;LIFE;CORSO MASSIMO D'AZEGLIO 3;No;362;09bis;8;752;10125;;POINT (7.687202263704002 45.05786368134287);45.05786368134287;7.687202263704002
AGENZIE VIAGGIO;JET VIAGGI 3000;CORSO MASSIMO D'AZEGLIO 12;No;338;09;8;734;10125;;POINT (7.686287437656254 45.0575210678237);45.0575210678237;7.6862874376562536
AGENZIE AFFARI;SAN PAOLO;VIA DANTE DI NANNI 106;No;1492;33;3;247;10141;;POINT (7.648445152227833 45.06375191113409);45.06375191113409;7.648445152227833
AGENZIE AFFARI;;VIA DE MAISTRE FRATELLI 57;No;3049;89;2;871;10127;;POINT (7.652442878553493 45.01303789730655);45.013037897306546;7.652442878553493
TRATTENIMENTI;ROSSO DI SERA...;VIA DANTE DI NANNI 102;No;1492;33;3;247;10141;;POINT (7.648673514443211 45.06401393432947);45.064013934329466;7.648673514443211
AGENZIE AFFARI;;CORSO ALCIDE DE GASPERI 27 bis;No;1171;26;1;59;10129;;POINT (7.660841113695939 45.0564645058213);45.056464505821296;7.660841113695939
AGENZIE AFFARI;;STRADA CUORGNE' 66;No;3036;77;6;620;10156;;POINT (7.704070368128279 45.12293388275913);45.122933882759135;7.704070368128279
AGENZIE AFFARI;;CORSO DUCA DEGLI ABRUZZI 53;No;1163;26;1;58;10129;;POINT (7.659735334222028 45.05760100580807);45.05760100580807;7.659735334222028
AGENZIE AFFARI;;CORSO DUCA DEGLI ABRUZZI 79;No;1184;26;1;63;10129;;POINT (7.657911064341327 45.05504211993131);45.05504211993131;7.657911064341327
AGENZIE VIAGGIO;HIGH SPEED TRAVEL;CORSO DUCA DEGLI ABRUZZI 86;No;1183;26;1;62;10129;;POINT (7.657204529838307 45.05516656804376);45.05516656804376;7.657204529838307
AGENZIE AFFARI;;VIA DANTE DI NANNI 4;No;1430;33;3;226;10138;;POINT (7.654168055697171 45.0703379352661);45.070337935266096;7.654168055697171
AGENZIE VIAGGIO;YOYO TOUR;CORSO DUCA DEGLI ABRUZZI 6 bis;No;782;18;1;48;10128;;POINT (7.665160544179333 45.06631588739698);45.06631588739698;7.665160544179333
AGENZIE AFFARI;SPORT CARS TORINO;CORSO DUCA DEGLI ABRUZZI 10;No;790;18;1;49;10128;;POINT (7.664812463597337 45.06582878800551);45.06582878800551;7.664812463597337
AGENZIE AFFARI;;CORSO DUCA DEGLI ABRUZZI 39;No;1156;26;1;57;10129;;POINT (7.660881051263342 45.05920319135505);45.059203191355046;7.660881051263342
AGENZIE AFFARI;PUBLITALIA 80;CORSO DUCA D'AOSTA 4;No;805;18;1;51;10129;;POINT (7.666670876538211 45.06110837217196);45.06110837217196;7.666670876538211
AGENZIE VIAGGIO;;CORSO DANTE 124;No;910;20;8;766;10126;;POINT (7.682954650295589 45.04541743104);45.04541743104;7.6829546502955886
